item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
99213	Australia	Blog	2	0	0.522167	0.05149	0.375915
99378	Turkey	Blog	2	0	0.102374	0.166701	0.08152
99969	Australia	Blog	2	0	0.201161	0.137176	0.10235
100765	Turkey	Blog	2	0	0.03592	0.047475	0.020539
100766	Turkey	Blog	2	0	0.324168	0.596225	0.297819
102367	Australia	Blog	2	0	0.088933	0.046855	0.018762
102368	Australia	Blog	2	0	0.515868	0.406543	0.356649
102369	Australia	Blog	2	0	0.248914	0.160968	0.235587
102370	Australia	Blog	2	0	-1	-1	-1
102371	Australia	Blog	2	0	0.134008	0.062714	0.083753
102372	Australia	Blog	2	0	0	0	0.057505
102373	Australia	Blog	2	0	-1	-1	-1
102419	Switzerland	Blog	2	0	0.577094	0.34361	0
102420	Switzerland	Blog	2	0	-1	-1	-1
102424	Turkey	Blog	2	0	0.510202	0.469916	0.361351
102425	Turkey	Blog	3	0	0.493065	0.444385	0.433371
102426	Turkey	Blog	4	0	0.437258	0.398362	0.315463
102427	Turkey	Blog	2	0	0.322696	0.917192	0.286819
102428	Turkey	Blog	2	0	0.085763	0.6232	0.160488
102429	Turkey	Blog	2	0	0.541968	0.082949	0.175874
102430	Turkey	Blog	2	0	0	0	0.012213
102431	Turkey	Blog	2	0	0.246645	0.274398	0.163512
102432	Turkey	Blog	2	0	0.426799	0.351077	0.188674
102433	Turkey	Blog	2	0	0.385698	0.351493	0.457055
102434	Turkey	Blog	2	0	0.591876	0.460031	0.47484
102435	Turkey	Blog	2	0	0	0.130494	0.032145
103167	Australia	Blog	2	0	0.060799	0.031627	0.042348
103344	Australia	Blog	2	0	0.559198	0.559024	0.390612
103345	Switzerland	Blog	2	0	0.353506	0.110854	0
103621	Australia	Blog	2	0	0.117987	0	0.014671
103622	Australia	Blog	2	0	0.170449	0.018894	0.013058
103623	Australia	Blog	2	0	0.270427	0.113584	0.228311
103627	Turkey	Blog	2	0	0.082648	0.335445	0.169136
103912	Australia	Blog	2	0	0.487416	0.184874	0.426844
103918	Switzerland	Blog	2	0	0.131418	0.178593	0.073701
104268	Australia	Blog	2	0	0	0	0
104656	Switzerland	Blog	2	0	0.122471	0.184776	0
104657	Turkey	Blog	2	0	0.254762	0.291433	0.268895
104658	Turkey	Blog	2	0	0.088376	0.05923	0.049638
105089	Australia	Blog	2	0	0.05	0	0.066848
105105	Turkey	Blog	2	0	0.481927	0.168802	0.329106
105106	Turkey	Blog	2	0	0.308777	0.128384	0.215693
105535	Australia	Blog	2	0	-1	-1	-1
105551	Turkey	Blog	2	0	0.46357	0.076428	0.322364
105957	Australia	Blog	2	0	0.724676	0.080923	0.446146
105965	Turkey	Blog	2	0	0.011422	0.066675	0.023767
106425	Turkey	Blog	2	0	0.114232	0.25574	0.082996
106912	Turkey	Blog	2	0	0.176445	0.16045	0.053719
107324	Switzerland	Blog	2	0	-1	-1	-1
107325	Switzerland	Blog	2	0	0.310785	0.394398	0.158178
107644	Turkey	Blog	1	1	0.281257	0.405499	0.201139
108022	Turkey	Blog	2	0	0.322872	0.227845	0.154314
108326	Turkey	Blog	2	0	0	0.149678	0
108640	Australia	Blog	2	0	0.053755	0	0.011447
108941	Australia	Blog	2	0	0.383016	0.2042	0.236309
108942	Australia	Blog	2	0	0.207198	0.095022	0.084254
109195	Australia	Blog	2	0	0.239317	0.220574	0.194256
109450	Australia	Blog	2	0	0.037136	0.019303	0.056516
109701	Australia	Blog	2	0	0.27653	0.222138	0.152015
109704	Switzerland	Blog	2	0	0.234672	0.119561	0.208785
110050	Australia	Blog	2	0	0.062795	0.031154	0.158952
110051	Australia	Blog	2	0	0.190361	0.071039	0.120774
110052	Australia	Blog	2	0	0.111428	0	0.019327
110059	Australia	Blog	2	0	-1	-1	-1
110363	Australia	Blog	2	0	0.016671	0	0.068196
110674	Australia	Blog	2	0	0.028516	0.024012	0.057043
110684	Australia	Blog	2	0	-1	-1	-1
111106	Australia	Blog	2	0	0	0.011629	0.038924
111573	Australia	Blog	2	0	0.217589	0.01812	0.028692
111594	Turkey	Blog	2	0	0.081921	0.187056	0.065887
111595	Turkey	Blog	4	0	0.190142	0.288192	0.127465
111596	Turkey	Blog	2	0	0.34439	0.357961	0.238636
111597	Turkey	Blog	2	0	0.074499	0.113207	0.076301
112464	Turkey	Blog	4	0	0.360642	0.310755	0.539169
112991	Turkey	Blog	3	0	0.212113	0.095158	0.345486
113568	Turkey	Blog	2	0	0.16752	0.067779	0.137414
115138	Australia	Blog	2	0	0.29052	0.160496	0.231475
115175	Turkey	Blog	2	0	0.159597	0.198125	0.076654
115488	Australia	Blog	2	0	0.050447	0.059308	0.0544
116079	Australia	Blog	2	0	0.15818	0	0.058267
116080	Australia	Blog	2	0	0.129226	0.126495	0.090468
116081	Australia	Blog	2	0	0.136731	0.028215	0.089053
116082	Australia	Blog	2	0	-1	-1	-1
116083	Switzerland	Blog	2	0	0.633387	0.391385	0
116298	Australia	Blog	2	0	0.096291	0	0.013497
116299	Australia	Blog	2	0	0.166805	0	0.05126
116888	Australia	Blog	2	0	0.028381	0	0.01327
117239	Switzerland	Blog	2	0	0.312674	0	0.123274
117707	Australia	Blog	2	0	0.564861	0.275145	0.294217
117724	Turkey	Blog	4	0	0.270649	0.698688	0.229984
118112	Australia	Blog	2	0	0.190156	0.012833	0.07137
